row,svk_lanczosMatvecs,svk_lanczosSubspaceSize,svk_lanczosMedian,svk_lanczosTop,svk_lanczosBot,b2_lanczosMatvecs,b2_lanczosSubspaceSize,b2_lanczosMedian,b2_lanczosTop,b2_lanczosBot,bk_lanczosMatvecs,bk_lanczosSubspaceSize,bk_lanczosMedian,bk_lanczosTop,bk_lanczosBot,bk+4_lanczosMatvecs,bk+4_lanczosSubspaceSize,bk+4_lanczosMedian,bk+4_lanczosTop,bk+4_lanczosBot,svk_orthoMatvecs,svk_orthoSubspaceSize,svk_orthoMedian,svk_orthoTop,svk_orthoBot,b2_orthoMatvecs,b2_orthoSubspaceSize,b2_orthoMedian,b2_orthoTop,b2_orthoBot,bk_orthoMatvecs,bk_orthoSubspaceSize,bk_orthoMedian,bk_orthoTop,bk_orthoBot,bk+4_orthoMatvecs,bk+4_orthoSubspaceSize,bk+4_orthoMedian,bk+4_orthoTop,bk+4_orthoBot
11,502.0,168.0,0.000885710265948053,0.00018275470938348496,0.004858877924476245,500.0,168.0,2.460251321998511e-15,2.0360700595849747e-15,4.241812624135364e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,168.0,1.6967250496541456e-15,1.6967250496541456e-15,2.375415069515804e-15,500.0,168.0,2.0360700595849747e-15,1.6967250496541456e-15,2.5450875744812184e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,568.0,190.0,3.243694340212257e-6,8.715540532880047e-7,1.3228962680635996e-5,566.0,190.0,2.2905788170330966e-15,2.0360700595849747e-15,3.775213235480474e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0,190.0,1.86639755461956e-15,1.6967250496541456e-15,2.375415069515804e-15,566.0,190.0,1.86639755461956e-15,1.6967250496541456e-15,2.375415069515804e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,643.0,215.0,1.6419234604741438e-9,6.629410603688947e-10,1.4166884402875215e-8,644.0,216.0,2.714760079446633e-15,2.0360700595849747e-15,4.0721401191699494e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643.0,215.0,1.86639755461956e-15,1.6967250496541456e-15,2.5450875744812184e-15,644.0,216.0,1.86639755461956e-15,1.6967250496541456e-15,2.4178331957571577e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,724.0,242.0,1.6994398097335924e-12,5.725174498795501e-13,5.156008080889017e-12,722.0,242.0,2.0360700595849747e-15,2.0360700595849747e-15,3.2237775943428766e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724.0,242.0,1.86639755461956e-15,1.6967250496541456e-15,2.714760079446633e-15,722.0,242.0,1.86639755461956e-15,1.6967250496541456e-15,2.7571782056879868e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,817.0,273.0,3.054105089377462e-15,2.0360700595849747e-15,5.302265780169205e-15,818.0,274.0,2.2057425645503893e-15,2.0360700595849747e-15,2.8844325844120475e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,817.0,273.0,1.86639755461956e-15,1.6967250496541456e-15,2.5875057007225722e-15,818.0,274.0,1.86639755461956e-15,1.6967250496541456e-15,2.4178331957571577e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,922.0,308.0,2.2905788170330966e-15,2.0360700595849747e-15,4.241812624135364e-15,920.0,308.0,2.120906312067682e-15,2.0360700595849747e-15,3.054105089377462e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922.0,308.0,2.0360700595849747e-15,1.6967250496541456e-15,2.5875057007225722e-15,920.0,308.0,1.86639755461956e-15,1.6967250496541456e-15,2.4178331957571577e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1042.0,348.0,2.714760079446633e-15,2.0360700595849747e-15,3.435868225549645e-15,1040.0,348.0,2.2057425645503893e-15,2.0360700595849747e-15,2.8844325844120475e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042.0,348.0,1.9512338071022674e-15,1.6967250496541456e-15,2.4178331957571577e-15,1040.0,348.0,1.9512338071022674e-15,1.6967250496541456e-15,2.5450875744812184e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1177.0,393.0,2.0360700595849747e-15,2.0360700595849747e-15,3.096523215618816e-15,1178.0,394.0,2.0360700595849747e-15,2.0360700595849747e-15,3.096523215618816e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1177.0,393.0,2.0360700595849747e-15,1.6967250496541456e-15,2.8844325844120475e-15,1178.0,394.0,1.9512338071022674e-15,1.6967250496541456e-15,2.5450875744812184e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1327.0,443.0,2.0360700595849747e-15,2.0360700595849747e-15,3.054105089377462e-15,1328.0,444.0,2.0360700595849747e-15,2.0360700595849747e-15,2.8844325844120475e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1327.0,443.0,2.0360700595849747e-15,1.6967250496541456e-15,2.714760079446633e-15,1328.0,444.0,1.9512338071022674e-15,1.6967250496541456e-15,2.7571782056879868e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1498.0,500.0,2.375415069515804e-15,2.0360700595849747e-15,3.2237775943428766e-15,1496.0,500.0,2.120906312067682e-15,2.0360700595849747e-15,3.054105089377462e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1498.0,500.0,1.86639755461956e-15,1.6967250496541456e-15,2.5875057007225722e-15,1496.0,500.0,2.0360700595849747e-15,1.6967250496541456e-15,2.714760079446633e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
